key,layer,cwe,label,flow_level,outcome,tool
synthetic/CWE-094/cwe_94_eval_express.js,syntetyczna,CWE-094,CWE-094/cwe_94_eval_express.js,1,TP,CodeQL
synthetic/CWE-094/cwe_94_settimeout_string_scheduler.js,syntetyczna,CWE-094,CWE-094/cwe_94_settimeout_string_scheduler.js,2,TP,CodeQL
synthetic/CWE-094/cwe_94_vm_run_in_new_context.ts,syntetyczna,CWE-094,CWE-094/cwe_94_vm_run_in_new_context.ts,3,TP,CodeQL
synthetic/CWE-094/cwe_94_lodash_template_upload.js,syntetyczna,CWE-094,CWE-094/cwe_94_lodash_template_upload.js,4,FN,CodeQL
synthetic/CWE-094/cwe_94_new_function_rules_engine.js,syntetyczna,CWE-094,CWE-094/cwe_94_new_function_rules_engine.js,5,FN,CodeQL
synthetic/CWE-078/cwe_78_exec_ping_diagnostics.js,syntetyczna,CWE-078,CWE-078/cwe_78_exec_ping_diagnostics.js,1,TP,CodeQL
synthetic/CWE-078/cwe_78_execsync_repo_clone.js,syntetyczna,CWE-078,CWE-078/cwe_78_execsync_repo_clone.js,2,TP,CodeQL
synthetic/CWE-078/cwe_78_spawn_shell_true_converter.ts,syntetyczna,CWE-078,CWE-078/cwe_78_spawn_shell_true_converter.ts,3,FN,CodeQL
synthetic/CWE-078/cwe_78_second_order_backup_worker.js,syntetyczna,CWE-078,CWE-078/cwe_78_second_order_backup_worker.js,4,FN,CodeQL
synthetic/CWE-078/cwe_78_broken_sanitizer_media_queue.js,syntetyczna,CWE-078,CWE-078/cwe_78_broken_sanitizer_media_queue.js,5,FN,CodeQL
synthetic/CWE-089/cwe_89_string_concat_login.js,syntetyczna,CWE-089,CWE-089/cwe_89_string_concat_login.js,1,TP,CodeQL
synthetic/CWE-089/cwe_89_partial_parameterization_search.js,syntetyczna,CWE-089,CWE-089/cwe_89_partial_parameterization_search.js,2,TP,CodeQL
synthetic/CWE-089/cwe_89_knex_whereraw_analytics.ts,syntetyczna,CWE-089,CWE-089/cwe_89_knex_whereraw_analytics.ts,3,TP,CodeQL
synthetic/CWE-089/cwe_89_second_order_saved_filters.js,syntetyczna,CWE-089,CWE-089/cwe_89_second_order_saved_filters.js,4,FN,CodeQL
synthetic/CWE-089/cwe_89_sequelize_literal_broken_escape.js,syntetyczna,CWE-089,CWE-089/cwe_89_sequelize_literal_broken_escape.js,5,TP,CodeQL
synthetic/CWE-079/cwe_79_reflected_search_express.js,syntetyczna,CWE-079,CWE-079/cwe_79_reflected_search_express.js,1,TP,CodeQL
synthetic/CWE-079/cwe_79_ejs_unescaped_profile.js,syntetyczna,CWE-079,CWE-079/cwe_79_ejs_unescaped_profile.js,2,FN,CodeQL
synthetic/CWE-079/cwe_79_stored_comments_react_ssr.tsx,syntetyczna,CWE-079,CWE-079/cwe_79_stored_comments_react_ssr.tsx,3,FN,CodeQL
synthetic/CWE-079/cwe_79_broken_sanitizer_markdown.js,syntetyczna,CWE-079,CWE-079/cwe_79_broken_sanitizer_markdown.js,4,TP,CodeQL
synthetic/CWE-079/cwe_79_state_hydration_script_context.js,syntetyczna,CWE-079,CWE-079/cwe_79_state_hydration_script_context.js,5,FN,CodeQL
synthetic/CWE-022/cwe_22_readfile_concat_docs.js,syntetyczna,CWE-022,CWE-022/cwe_22_readfile_concat_docs.js,1,TP,CodeQL
synthetic/CWE-022/cwe_22_naive_replace_avatar.js,syntetyczna,CWE-022,CWE-022/cwe_22_naive_replace_avatar.js,2,TP,CodeQL
synthetic/CWE-022/cwe_22_zip_slip_theme_import.js,syntetyczna,CWE-022,CWE-022/cwe_22_zip_slip_theme_import.js,3,TP,CodeQL
synthetic/CWE-022/cwe_22_path_resolve_absolute_templates.ts,syntetyczna,CWE-022,CWE-022/cwe_22_path_resolve_absolute_templates.ts,4,FN,CodeQL
synthetic/CWE-022/cwe_22_second_order_manifest_export.js,syntetyczna,CWE-022,CWE-022/cwe_22_second_order_manifest_export.js,5,FN,CodeQL
synthetic/CWE-1321/cwe_1321_recursive_merge_settings.js,syntetyczna,CWE-1321,CWE-1321/cwe_1321_recursive_merge_settings.js,1,TP,CodeQL
synthetic/CWE-1321/cwe_1321_query_parser_filters.js,syntetyczna,CWE-1321,CWE-1321/cwe_1321_query_parser_filters.js,2,TP,CodeQL
synthetic/CWE-1321/cwe_1321_gadget_chain_ejs_render.js,syntetyczna,CWE-1321,CWE-1321/cwe_1321_gadget_chain_ejs_render.js,3,TP,CodeQL
synthetic/CWE-1321/cwe_1321_auth_flag_override.ts,syntetyczna,CWE-1321,CWE-1321/cwe_1321_auth_flag_override.ts,4,TP,CodeQL
synthetic/CWE-1321/cwe_1321_websocket_path_assignment.js,syntetyczna,CWE-1321,CWE-1321/cwe_1321_websocket_path_assignment.js,5,FN,CodeQL
synthetic/CWE-1333/cwe_1333_nested_quantifier_validation.js,syntetyczna,CWE-1333,CWE-1333/cwe_1333_nested_quantifier_validation.js,1,TP,CodeQL
synthetic/CWE-1333/cwe_1333_hidden_match_forwarded_host.js,syntetyczna,CWE-1333,CWE-1333/cwe_1333_hidden_match_forwarded_host.js,2,TP,CodeQL
synthetic/CWE-1333/cwe_1333_zod_schema_pattern.ts,syntetyczna,CWE-1333,CWE-1333/cwe_1333_zod_schema_pattern.ts,3,TP,CodeQL
synthetic/CWE-1333/cwe_1333_dynamic_regexp_catalog_search.js,syntetyczna,CWE-1333,CWE-1333/cwe_1333_dynamic_regexp_catalog_search.js,4,TP,CodeQL
synthetic/CWE-1333/cwe_1333_async_log_pipeline.js,syntetyczna,CWE-1333,CWE-1333/cwe_1333_async_log_pipeline.js,5,TP,CodeQL
synthetic/CWE-327/cwe_327_md5_literal_password.js,syntetyczna,CWE-327,CWE-327/cwe_327_md5_literal_password.js,1,TP,CodeQL
synthetic/CWE-327/cwe_327_sha1_module_constant.js,syntetyczna,CWE-327,CWE-327/cwe_327_sha1_module_constant.js,2,FN,CodeQL
synthetic/CWE-327/cwe_327_config_object_cipher.js,syntetyczna,CWE-327,CWE-327/cwe_327_config_object_cipher.js,3,FN,CodeQL
synthetic/CWE-327/cwe_327_legacy_flag_fallback.ts,syntetyczna,CWE-327,CWE-327/cwe_327_legacy_flag_fallback.ts,4,FN,CodeQL
synthetic/CWE-327/cwe_327_crypto_helper_factory.js,syntetyczna,CWE-327,CWE-327/cwe_327_crypto_helper_factory.js,5,FN,CodeQL
synthetic/CWE-798/cwe_798_inline_stripe_api_key.js,syntetyczna,CWE-798,CWE-798/cwe_798_inline_stripe_api_key.js,1,FN,CodeQL
synthetic/CWE-798/cwe_798_module_constant_github_token.js,syntetyczna,CWE-798,CWE-798/cwe_798_module_constant_github_token.js,2,FN,CodeQL
synthetic/CWE-798/cwe_798_nested_config_object.js,syntetyczna,CWE-798,CWE-798/cwe_798_nested_config_object.js,3,FN,CodeQL
synthetic/CWE-798/cwe_798_env_conditional_sandbox_key.ts,syntetyczna,CWE-798,CWE-798/cwe_798_env_conditional_sandbox_key.ts,4,FN,CodeQL
synthetic/CWE-798/cwe_798_credential_provider_fallback.js,syntetyczna,CWE-798,CWE-798/cwe_798_credential_provider_fallback.js,5,FN,CodeQL
synthetic/CWE-020/cwe_20_nan_pagination_ledger.js,syntetyczna,CWE-020,CWE-020/cwe_20_nan_pagination_ledger.js,1,FN,CodeQL
synthetic/CWE-020/cwe_20_mass_assignment_profile.js,syntetyczna,CWE-020,CWE-020/cwe_20_mass_assignment_profile.js,2,FN,CodeQL
synthetic/CWE-020/cwe_20_negative_quantity_checkout.js,syntetyczna,CWE-020,CWE-020/cwe_20_negative_quantity_checkout.js,3,FN,CodeQL
synthetic/CWE-020/cwe_20_ssrf_webhook_callback.ts,syntetyczna,CWE-020,CWE-020/cwe_20_ssrf_webhook_callback.ts,4,TP,CodeQL
synthetic/CWE-020/cwe_20_nosql_type_confusion_login.js,syntetyczna,CWE-020,CWE-020/cwe_20_nosql_type_confusion_login.js,5,FN,CodeQL
synthetic/control_pool/cwe_94_safe_eval_express.js,syntetyczna,CWE-094,control_pool/cwe_94_safe_eval_express.js,1,TN,CodeQL
synthetic/control_pool/cwe_94_safe_settimeout_string_scheduler.js,syntetyczna,CWE-094,control_pool/cwe_94_safe_settimeout_string_scheduler.js,2,TN,CodeQL
synthetic/control_pool/cwe_94_safe_vm_run_in_new_context.ts,syntetyczna,CWE-094,control_pool/cwe_94_safe_vm_run_in_new_context.ts,3,TN,CodeQL
synthetic/control_pool/cwe_94_safe_lodash_template_upload.js,syntetyczna,CWE-094,control_pool/cwe_94_safe_lodash_template_upload.js,4,TN,CodeQL
synthetic/control_pool/cwe_94_safe_new_function_rules_engine.js,syntetyczna,CWE-094,control_pool/cwe_94_safe_new_function_rules_engine.js,5,TN,CodeQL
synthetic/control_pool/cwe_78_safe_exec_ping_diagnostics.js,syntetyczna,CWE-078,control_pool/cwe_78_safe_exec_ping_diagnostics.js,1,TN,CodeQL
synthetic/control_pool/cwe_78_safe_execsync_repo_clone.js,syntetyczna,CWE-078,control_pool/cwe_78_safe_execsync_repo_clone.js,2,TN,CodeQL
synthetic/control_pool/cwe_78_safe_spawn_shell_true_converter.ts,syntetyczna,CWE-078,control_pool/cwe_78_safe_spawn_shell_true_converter.ts,3,TN,CodeQL
synthetic/control_pool/cwe_78_safe_second_order_backup_worker.js,syntetyczna,CWE-078,control_pool/cwe_78_safe_second_order_backup_worker.js,4,TN,CodeQL
synthetic/control_pool/cwe_78_safe_broken_sanitizer_media_queue.js,syntetyczna,CWE-078,control_pool/cwe_78_safe_broken_sanitizer_media_queue.js,5,TN,CodeQL
synthetic/control_pool/cwe_89_safe_string_concat_login.js,syntetyczna,CWE-089,control_pool/cwe_89_safe_string_concat_login.js,1,TN,CodeQL
synthetic/control_pool/cwe_89_safe_partial_parameterization_search.js,syntetyczna,CWE-089,control_pool/cwe_89_safe_partial_parameterization_search.js,2,TN,CodeQL
synthetic/control_pool/cwe_89_safe_knex_whereraw_analytics.ts,syntetyczna,CWE-089,control_pool/cwe_89_safe_knex_whereraw_analytics.ts,3,TN,CodeQL
synthetic/control_pool/cwe_89_safe_second_order_saved_filters.js,syntetyczna,CWE-089,control_pool/cwe_89_safe_second_order_saved_filters.js,4,TN,CodeQL
synthetic/control_pool/cwe_89_safe_sequelize_literal_broken_escape.js,syntetyczna,CWE-089,control_pool/cwe_89_safe_sequelize_literal_broken_escape.js,5,TN,CodeQL
synthetic/control_pool/cwe_79_safe_reflected_search_express.js,syntetyczna,CWE-079,control_pool/cwe_79_safe_reflected_search_express.js,1,TN,CodeQL
synthetic/control_pool/cwe_79_safe_ejs_unescaped_profile.js,syntetyczna,CWE-079,control_pool/cwe_79_safe_ejs_unescaped_profile.js,2,TN,CodeQL
synthetic/control_pool/cwe_79_safe_stored_comments_react_ssr.tsx,syntetyczna,CWE-079,control_pool/cwe_79_safe_stored_comments_react_ssr.tsx,3,TN,CodeQL
synthetic/control_pool/cwe_79_safe_broken_sanitizer_markdown.js,syntetyczna,CWE-079,control_pool/cwe_79_safe_broken_sanitizer_markdown.js,4,TN,CodeQL
synthetic/control_pool/cwe_79_safe_state_hydration_script_context.js,syntetyczna,CWE-079,control_pool/cwe_79_safe_state_hydration_script_context.js,5,TN,CodeQL
synthetic/control_pool/cwe_22_safe_readfile_concat_docs.js,syntetyczna,CWE-022,control_pool/cwe_22_safe_readfile_concat_docs.js,1,TN,CodeQL
synthetic/control_pool/cwe_22_safe_naive_replace_avatar.js,syntetyczna,CWE-022,control_pool/cwe_22_safe_naive_replace_avatar.js,2,TN,CodeQL
synthetic/control_pool/cwe_22_safe_zip_slip_theme_import.js,syntetyczna,CWE-022,control_pool/cwe_22_safe_zip_slip_theme_import.js,3,TN,CodeQL
synthetic/control_pool/cwe_22_safe_path_resolve_absolute_templates.ts,syntetyczna,CWE-022,control_pool/cwe_22_safe_path_resolve_absolute_templates.ts,4,TN,CodeQL
synthetic/control_pool/cwe_22_safe_second_order_manifest_export.js,syntetyczna,CWE-022,control_pool/cwe_22_safe_second_order_manifest_export.js,5,TN,CodeQL
synthetic/control_pool/cwe_1321_safe_recursive_merge_settings.js,syntetyczna,CWE-1321,control_pool/cwe_1321_safe_recursive_merge_settings.js,1,FP,CodeQL
synthetic/control_pool/cwe_1321_safe_query_parser_filters.js,syntetyczna,CWE-1321,control_pool/cwe_1321_safe_query_parser_filters.js,2,TN,CodeQL
synthetic/control_pool/cwe_1321_safe_gadget_chain_ejs_render.js,syntetyczna,CWE-1321,control_pool/cwe_1321_safe_gadget_chain_ejs_render.js,3,TN,CodeQL
synthetic/control_pool/cwe_1321_safe_auth_flag_override.ts,syntetyczna,CWE-1321,control_pool/cwe_1321_safe_auth_flag_override.ts,4,FP,CodeQL
synthetic/control_pool/cwe_1321_safe_websocket_path_assignment.js,syntetyczna,CWE-1321,control_pool/cwe_1321_safe_websocket_path_assignment.js,5,TN,CodeQL
synthetic/control_pool/cwe_1333_safe_nested_quantifier_validation.js,syntetyczna,CWE-1333,control_pool/cwe_1333_safe_nested_quantifier_validation.js,1,TN,CodeQL
