id,cwe,class,package,vulnerable_version,fixed_version,version_gap,fix_commit,sink_file,sink_line,entry_dir
CVE-2020-6836,CWE-094,Wstrzykniecie kodu,hot-formula-parser,3.0.0,3.0.1,patch,https://github.com/handsontable/formula-parser/commit/396b089738d4bf30eb570a4fe6a188affa95cd5e,lib/grammar-parser/grammar-parser.js,258,code-injection\hot-formula-parser_3.0.0
js-yaml_3.13.0,CWE-094,Wstrzykniecie kodu,js-yaml,3.13.0,3.13.1,patch,https://github.com/nodeca/js-yaml/pull/480/commits/e18afbf1edcafb7add2c4c7b22abc8d6ebc2fa61,lib/js-yaml/type/js/function.js,70,code-injection\js-yaml_3.13.0
mobile-icon-resizer_0.4.0,CWE-094,Wstrzykniecie kodu,mobile-icon-resizer,0.4.2,0.4.3,patch,https://github.com/muzzley/mobile-icon-resizer/commit/a6c50f884bd282d74ab77e1fce6317d5d0dd2f0f,lib/resize.js,31,code-injection\mobile-icon-resizer_0.4.0
mol-proto_0.1.3,CWE-094,Wstrzykniecie kodu,mol-proto,^0.1.3,1.0.6,major,https://github.com/milojs/proto/pull/2/commits/10adbec293e7dfdb2e9e565bfd77187cf0373cbe,lib/proto_function.js,70,code-injection\mol-proto_0.1.3
CVE-2014-9682,CWE-078,Wstrzykniecie polecen systemowych,dns-sync,0.1.0,0.1.3,patch,https://github.com/skoranga/node-dns-sync/commit/d9abaae384b198db1095735ad9c1c73d7b890a0d,lib/dns-sync.js,21,command-injection\dns-sync_0.1.0
CVE-2018-13797,CWE-078,Wstrzykniecie polecen systemowych,macaddress,0.2.8,0.2.9,patch,https://github.com/scravy/node-macaddress/commit/358fd594adb196a86b94ac9c691f69fe5dad2332,lib/unix.js,4,command-injection\macaddress_0.2.8
CVE-2018-16461,CWE-078,Wstrzykniecie polecen systemowych,libnmap,0.4.11,0.4.16,patch,https://github.com/jas-/node-libnmap/commit/c235b24b0342e12a5dbf502f89daabe95883b6c8,lib/classes/tools.js,114,command-injection\libnmap_0.4.11
CVE-2019-10802,CWE-078,Wstrzykniecie polecen systemowych,giting,0.0.7,0.0.8,patch,https://github.com/MangoRaft/git/commit/9be41081f547d3dcef25e7d7c957bc2a3be2dfe0,lib/git.js,223,command-injection\giting_0.0.7
CVE-2020-28490,CWE-078,Wstrzykniecie polecen systemowych,async-git,1.13.1,1.13.2,patch,https://github.com/omrilotan/async-git/commit/d1950a5021f4e19d92f347614be0d85ce991510d,lib/reset/index.js,11,command-injection\async-git_1.13.1
CVE-2017-16083,CWE-022,Przejscie przez katalogi,node-simple-router,0.10.0,0.10.1,patch,https://github.com/sandy98/node-simple-router/commit/dfdd52e2e80607af433097d940b3834fd96df488,lib/router.js,757,path-traversal\node-simple-router_0.10.0
CVE-2018-16485,CWE-022,Przejscie przez katalogi,m-server,1.4.0,1.4.2,patch,https://github.com/nunnly/m-server/commit/01f13f040d1961ca3146dce7e2db990156e65e9a,lib/index.js,14,path-traversal\m-server_1.4.0
hangersteak_0.2.2,CWE-022,Przejscie przez katalogi,hangersteak,0.2.2,0.2.5,patch,https://github.com/eldoy/hangersteak/commit/9e853cced065c5a98f242c7ac75438d035f63532,lib/hangersteak.js,61,path-traversal\hangersteak_0.2.2
public_0.1.2,CWE-022,Przejscie przez katalogi,public,0.1.2,0.1.3,patch,https://github.com/tnantoka/public/commit/eae8ad8017b260f8667ded5e12801bd72b877af2,bin/public,78,path-traversal\public_0.1.2
@vivaxy-here_3.1.0,CWE-022,Przejscie przez katalogi,@vivaxy/here,3.1.0,3.2.2,minor,https://github.com/vivaxy/here/commit/298dbab41344dfb7f95f66b1fa7b5cfb436bd4a2,lib/read-file.js,11,path-traversal\@vivaxy-here_3.1.0
CVE-2018-16472,CWE-1321,Zanieczyszczenie prototypu,cached-path-relative,1.0.1,1.0.2,patch,https://github.com/ashaffer/cached-path-relative/commit/a43cffec84ed0e9eceecb43b534b6937a8028fc0,lib/index.js,39,prototype-pollution\cached-path-relative_1.0.1
CVE-2018-3728,CWE-1321,Zanieczyszczenie prototypu,hoek,5.0.0,5.0.3,patch,https://github.com/hapijs/hoek/commit/32ed5c9413321fbc37da5ca81a7cbab693786dee,lib/index.js,137,prototype-pollution\hoek_5.0.0
CVE-2018-3750,CWE-1321,Zanieczyszczenie prototypu,deep-extend,0.5.0,0.5.1,patch,https://github.com/unclechu/node-deep-extend/commit/433ee51ed606f4e1867ece57b6ff5a47bebb492f,lib/deep-extend.js,117,prototype-pollution\deep-extend_0.5.0
CVE-2019-10795,CWE-1321,Zanieczyszczenie prototypu,undefsafe,2.0.2,2.0.3,patch,https://github.com/remy/undefsafe/commit/f272681b3a50e2c4cbb6a8533795e1453382c822,lib/undefsafe.js,106,prototype-pollution\undefsafe_2.0.2
CVE-2019-10808,CWE-1321,Zanieczyszczenie prototypu,utilitify,1.0.2,1.0.3,patch,https://github.com/xcritical-software/utilitify/commit/88d6e27009823338bf319ffb768fe6b08e8ad2d1,utils/utils/mergeDeep.ts,17,prototype-pollution\utilitify_1.0.2
